name;address;nature;nightlife;drink;music;dance;history;sports;art;museum;walk;restaurant;movie
Hôtel Amour;8 rue de Navarin;;;1;;;;;;;;1;
Pershing Hall;49 Rue Pierre Charron;;1;1;1;;;;;;;1;
Le Baron Rouge;1 rue Théophile Roussel;;;1;;;;;;;;1;
Glazart;7-15 Avenue de la Porte de la Villette;;1;1;1;1;;;;;;;
O'Sullivan's by the mill : Backstage by the mill;92 Boulevard de Clichy;;1;1;1;;;;;;;1;
Kube Hôtel;1-5 passage Ruelle;;;1;;;;;;;;1;
Le Batofar;11 Quai François Mauriac;;1;1;1;1;;;;;;;
Harry's New York Bar;5 Rue Daunou;;;1;;;;;;;;;
The Moose;16 rue des Quatre Vents;;1;1;;;;;;;;1;
The Long Hop;25 Rue Frédéric Sauton;;1;1;;;;;;;;;
O'Brien's Irish Pub;77 rue Saint-Dominique;;1;1;;;;;;;;;
Sir Winston;5 Rue de Presbourg;;1;1;;;;;;;;;
Pub Saint-Germain;17 Rue de l'Ancienne Comédie;;1;1;;;;;;;;;
La Pachanga;8 rue Vandamme;;1;1;1;1;;;;;;;
Le Rendez-Vous des Amis;23 rue Gabrielle;;;;;;;;;;;1;
La Flèche d'Or;102 bis Rue de Bagnolet;;1;;;;;;;;;1;
Le Requin Chagrin;10 Rue Mouffetard;;;1;;;;;;;;;
Social Club;142 Rue Montmartre;;1;;1;1;;;;;;;
Bateau El Alamein;Port de la Gare;;;1;;;;;;;;;
Le Café des Sports;94 rue de Ménilmontant;;1;1;1;;;;;;;1;
The Bottle Shop;5 rue Trousseau;;1;1;1;;;;;;;1;
L'International;7 Rue Moret;;1;1;1;;;;;;;;
Aux Folies;8 rue de Belleville;;1;1;;;;;;;;1;
Chez Régine;49 rue de Ponthieu;;1;1;;;;;;;;;
Rex Club;5 Boulevard Poissonnière;;1;;1;1;;;;;;;
Café de la Danse;5 Passage Louis-Philippe;;1;1;1;;;;;;;;
Divan du Monde;75 Rue des Martyrs;;1;1;1;;;;;;;;
Le Queen;102 Avenue des Champs-Élysées;;1;1;1;1;;;;;;;
Église de la Madeleine;Place de la Madeleine;;;;;;1;;1;;;;
Canal de l'Ourcq;13 Quai de la Loire;1;;;;;;;;;1;;
Cimetière de Montmartre;20 Avenue Rachel;;;;;;1;;1;;;;
Place Vendôme;Place Vendôme;;;;;;1;;;;;;
Bois de Vincennes;Bois de Vincennes;1;;;;;;1;;;1;;
Palais Brongniart (Ancienne Bourse de Paris);Place de la Bourse;;;;;;1;;1;1;;;
American Church in Paris;65 Quai d'Orsay;;;;;;;;1;;;;
Blue (Le);13 rue Feutrier;;;;;;;;;;;;
Grande Mosquée de Paris;6 Rue Georges Desplas;;;1;;;;;1;;;;
Place de la Bastille;Place de la Bastille;;;;;;1;;;;;;
Cimetière du Père Lachaise;16 Rue du Repos;;;;;;1;;1;;;;
Place Dauphine;Place Dauphine;1;;;;;1;;;;;;
Palais Royal;Place du Palais Royal;;;;;;;;;;1;1;
Église Saint-Sulpice;Place Saint-Sulpice;;;;;;1;;1;;;;
Jardins des Champs-Élysées;Avenue des Champs-Élysées;1;;;;;;;;;1;;
Pont des Arts;Pont des Arts;;;;;;;;;;1;;
Arènes de Lutèce;49 Rue Monge;;;;;;1;;1;;;;
Tombeau de Napoléon;Hôtel des Invalides;;;;;;1;;1;;;;
Musée des Arts et Métiers;60 Rue Réaumur;;;;;;1;;1;;;;
Parc Zoologique de Vincennes;53 Avenue Saint Maurice;1;;;;;;;;1;1;;
Passerelle Simone de Beauvoir;Passerelle Simone de Beauvoir;;;;;;;;;;1;;
Centre Pompidou - Musée National d'Art Moderne;Place Georges Pompidou;;;;;;;;1;1;;;
Port de l'Arsenal;Boulevard de la Bastille;1;;;;;;;;;;;
Église Saint-Pierre-de-Montrouge;82 avenue du Général Leclerc;;;;;;1;;1;;;;
Église Saint-Augustin;8 Avenue César Caire;;;;;;1;;1;;;;
Église Saint-Pierre de Montmartre;2 rue du Mont-Cenis;;;;;;1;;1;;;;
Église Saint-Denis-du-Saint-Sacrement;68 rue de Turenne;;;;;;1;;1;;;;
Église Notre-Dame de Lorette;Rue Notre-Dame de Lorette;;;;;;1;;1;;;;
Jardin Catherine Labouré;29 Rue de Babylone;1;;;;;;;;;1;;
Grande Halle de la Villette;211 Avenue Jean Jaurès;1;;;;;;;;1;1;;
Île aux Cygnes;Île aux Cygnes;;;;;;;;;;1;;
Square d'Anvers;Place d'Anvers;1;;;;;;;;;1;;
Musée National Picasso;5 Rue de Thorigny;;;;;;;;1;1;;;
Musée Guimet (Musée National des Arts Asiatiques);6 Place d'Iéna;;;;;;;;1;1;;;
Artcurial;7 rond-point des Champs-Élysées;;;;;;;;1;;;;
Fondation Henri Cartier-Bresson;2 Impasse Lebouis;;;;;;;;1;1;;;
Musée National du Moyen-Âge;6 Place Paul Painlevé;;;;;;;;1;1;;;
Cité de l'Architecture et du Patrimoine;Palais de Chaillot;;;;;;;;1;1;;;
Chai 33;33 Cour Saint-Emilion;;;;;;;;;;;1;
Café Barge;5 Port de la Râpée;;1;1;1;;;;;;;1;
Les Bouffes du Nord;37 bis boulevard de la Chapelle;;;;1;;;;;;;;
Casino de Paris;16 Rue de Clichy;;1;;1;;;;;;;;
Palais Omnisports de Paris-Bercy;8 Boulevard de Bercy;;;;;;;1;;;;;
Le Bataclan;50 Boulevard Voltaire;;1;;1;1;;;;;;;
Lido de Paris;116 bis avenue des Champs-Élysées;;1;;1;;;;;;;;
UGC Ciné Cité Les Halles;7 Place de la Rotonde;;;;;;;;;;;;1
L'Olympia;28 Boulevard des Capucines;;;;1;;;;;;;;
Théâtre du Gymnase;44 boulevard de Bonne Nouvelle;;;;1;;;;;;;;
Pelouse de Reuilly;Porte Dorée;1;;;;;;;;;1;;
UGC Gobelins;66 Avenue des Gobelins;;;;;;;;;;;;1
Espace Reuilly;21 Rue Antoine-Julien Hénard;;;;1;;;;;;;;
Le Trianon;80 Boulevard de Rochechouart;;;;1;;;;;;;;
Le Monfort Théâtre;106 rue Brancion;;;;1;;;;;;;;
Le Zénith;30 Avenue Corentin Cariou;;;;1;;;;;;;;
Viaduc des Arts;119 Avenue Daumesnil;;;;;;;;;;1;;
Goethe Institut;17 avenue d'Iéna;;;;;;;;1;;;;
Salons Vianey;98 Quai de la Rapée;;1;1;;;;;;;;;
Piscine Joséphine Baker;21 quai François Mauriac;;;;;;;1;;;;;
Lush Bar;16, rue des Dames;;;1;;;;;;;;;
Corcoran's;110 Boulevard de Clichy;;1;1;;;;;;;;;
Le Cristal;163 avenue de Suffren;;;1;;;;;;;;;
Galway;13 quai des Grands Augustins;;1;1;;;;;;;;;
Chapelle Notre-Dame de la Médaille Miraculeuse;140 Rue du Bac;;;;;;1;;1;;;;
Le Comptoir Général;80 Quai de Jemmapes;;;1;;;;;;;;;
Café Oz;8 Boulevard Montmartre;;;1;;;;;;;;;
La Chope du Château Rouge;40, Rue de Clignancourt;;;1;;;;;;;;;
