address,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews,Foursquare.url,Foursquare.usersCount,Foursquare.checkinsCount,Foursquare.tipCount,Foursquare.likes,website,numReviews
Place de la Madeleine,83456,48.869753812208,2.3242735862732,Paris,Église de la Madeleine,4adcda09f964a520013421e3,4,Church,http://tour-pedia.org/api/getPlaceDetails?id=83456,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83456,https://foursquare.com/v/%C3%A9glise-de-la-madeleine/4adcda09f964a520013421e3,1956,2839,9,28,http://www.eglise-lamadeleine.com,9
20 Avenue Rachel,83461,48.887548749415,2.3304319381714,Paris,Cimetière de Montmartre,4adcda09f964a5200a3421e3,6,Cemetery,http://tour-pedia.org/api/getPlaceDetails?id=83461,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83461,https://foursquare.com/v/cimeti%C3%A8re-de-montmartre/4adcda09f964a5200a3421e3,636,1164,6,8,,6
Place Vendôme,83465,48.867465482815,2.3294234275818,Paris,Place Vendôme,4adcda09f964a5200e3421e3,6,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=83465,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83465,https://foursquare.com/v/place-vend%C3%B4me/4adcda09f964a5200e3421e3,5121,8524,27,101,,27
Bois de Vincennes,83466,48.831165,2.42815,Paris,Bois de Vincennes,4adcda09f964a5200f3421e3,7,Park,http://tour-pedia.org/api/getPlaceDetails?id=83466,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83466,https://foursquare.com/v/bois-de-vincennes/4adcda09f964a5200f3421e3,1516,3889,25,38,,25
2 Place du Louvre,83473,48.859519915405,2.3413056135178,Paris,Église Saint-Germain l'Auxerrois,4adcda09f964a520173421e3,3,Church,http://tour-pedia.org/api/getPlaceDetails?id=83473,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83473,https://foursquare.com/v/%C3%A9glise-saintgermain-lauxerrois/4adcda09f964a520173421e3,284,372,3,8,,3
65 Quai d'Orsay,83474,48.862361519804,2.3067426486602,Paris,American Church in Paris,4adcda09f964a5201a3421e3,6,Temple,http://tour-pedia.org/api/getPlaceDetails?id=83474,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83474,https://foursquare.com/v/american-church-in-paris/4adcda09f964a5201a3421e3,251,503,4,4,,4
1 Place Alphonse Laveran,83475,48.840575,2.341906,Paris,Église du Val-de-Grâce,4adcda09f964a5201c3421e3,3,Church,http://tour-pedia.org/api/getPlaceDetails?id=83475,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83475,https://foursquare.com/v/%C3%A9glise-du-valdegr%C3%A2ce/4adcda09f964a5201c3421e3,88,147,2,2,,2
6 Rue Georges Desplas,83482,48.841909186751,2.3551350831985,Paris,Grande Mosquée de Paris,4adcda09f964a520e03321e3,6,Mosque,http://tour-pedia.org/api/getPlaceDetails?id=83482,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83482,https://foursquare.com/v/grande-mosqu%C3%A9e-de-paris/4adcda09f964a520e03321e3,1852,2777,29,42,http://www.mosquee-de-paris.org,29
Place de la Bastille,83484,48.853195026796,2.3690557479858,Paris,Place de la Bastille,4adcda09f964a520e43321e3,5,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=83484,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83484,https://foursquare.com/v/place-de-la-bastille-paris-%C3%AEledefrance/4adcda09f964a520e43321e3,11211,28290,44,188,,44
16 Rue du Repos,83486,48.861326879657,2.3942041397095,Paris,Cimetière du Père Lachaise,4adcda09f964a520e73321e3,5,Cemetery,http://tour-pedia.org/api/getPlaceDetails?id=83486,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83486,https://foursquare.com/v/cimeti%C3%A8re-du-p%C3%A8re-lachaise/4adcda09f964a520e73321e3,4435,6658,72,71,http://www.pere-lachaise.com,72
Place Dauphine,83489,48.856639931295,2.3423624038696,Paris,Place Dauphine,4adcda09f964a520eb3321e3,8,Plaza,http://tour-pedia.org/api/getPlaceDetails?id=83489,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83489,https://foursquare.com/v/place-dauphine/4adcda09f964a520eb3321e3,742,1248,7,16,,7
