Tourpedia_id,language,polarity,text,time,words_count,tokenized_text_url
83456,fr,5,"Une des trois plus laides églises de Paris ! Mais bon, goûtez son hostie, Desproges en disait le plus grand bien.",2011-08-31,21,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671e9c
83456,fr,0,Je ne suis pas spécialiste des églises! Mais je l ai trouvée très belle majestueuse a l intérieur. En revanche a peine les échafaudages enlevés qu elle commence déjà a noircir.,2011-09-30,37,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671e9d
83456,en,10,"Also known as the Le Madeleine, this is a beautiful Roman Catholic church that has Neo-classical architecture. Do not miss the nave with three domes and the sculpture of the Last Judgment.",2011-11-15,32,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671e9e
83456,fr,10,Le plus beau parvis de Paris. Accessoirement là où sera célébré mon mariage par une belle matinée de juin 2034...,2012-02-08,22,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671e9f
83456,ru,0,"Спроектированная на манер древнегреческого храма церковь, по замыслу императора, должна была стать «памятником, каких много в Афинах, но нет в Париже».",2012-10-20,0,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671ea0
83456,pt,0,"Em setembro, a igreja é tomada por franceses e brasileiros vestidos de branco, carregando rodos, vassouras e água-de-cheiro: é a Lavagem da Madeleine, em alusão a Lavagem do Bonfim, em Salvador.",2012-11-05,30,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671ea1
83456,en,10,Beautiful place and sometimes perfect concerts at the evening!!!,2013-01-01,9,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671ea2
83456,fr,0,"Il y a une bibliothèque pour tous au rez-de-chaussée, 17€ par an + 1.5€ par livre emprunté. Choix très limité, pas de livres en anglais, de bandes dessinées ou livres pour enfants.",2013-01-18,33,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671ea3
83456,ru,0,Монументальное сооружение эпохи Бонапарта. Здесь проходят удивительные концерты органной музыки - в церкви замечательная акустика. Вход free/пн-вс 9.30–19.00,2013-06-04,3,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671ea4
83461,es,10,Precioso. Vale la pena verlo. Nosotras fuimos a primera hora de la mañana estaba vacío y con luz tenue.,2011-09-18,21,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671eeb
83461,es,5,"demasiado entretenido. Recomendado!! fui a las 5:30 en invierno oscurenciendo, con los ciervos cantando, bien entretenido",2012-01-02,15,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671eec
83461,fr,5,"Stendhal (30e division), les frères Concourt (13e), Berlioz (20e), Edgar Degas (4e)",2012-03-05,13,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671eed
83461,en,5,Some of what you can see at the Montmartre Cemetery,2012-05-28,10,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671eee
83461,fr,10,"Vous pouvez vous recueillir sur les tombes de ceux qui ont marqué la France et la culture : Goncourt, Renan, Stendhal, Zola, Degas, Berlioz, Berger, Charcot, Guitry, Dalida et bien d’autres encore.",2012-10-31,32,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671eef
83461,ru,0,"Часы работы: 16 марта — 5 ноября пн-пт 8.00–18.00, сб 8.30–18.00, вс 9.00–18.00, 6 ноября — 15 марта пн-пт 8.00–17.30, сб 8.30–17.30, вс 9.00–17.30",2013-06-06,2,http://tour-pedia.org/api/getReviewDetails?id=52a74a88ae9eef5a50671ef0
83465,en,5,"Place to chill after a nice evening of eating drinking and dancing, with a taxi stop when you feel like going home.",2010-05-05,22,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f7a
83465,en,10,Shopping paradise on earth! Very friendly @ Dior.,2010-12-06,7,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f7b
83465,fr,5,Prenez quelques minutes afin de découvrir les subtilités du lieu comme la plaque sur l ancienne maison de chopin au numéro 14,2011-06-10,24,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f7c
83465,en,10,The most popular plaza you can see in every TV ad for luxury perfumes.,2011-08-04,14,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f7d
83465,fr,5,Le garde des sceaux detient la clef de la porte de la colonne.,2011-09-08,13,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f7e
83465,fr,10,Très beau ! Bijoux pour millionnaire !,2011-09-26,6,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f7f
83465,fr,5,Les rêves de lumière d’Arnaud Lapierre,2011-10-08,9,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f80
83465,en,10,"Place Vendôme is a lovely, petite counterpoint to the spacious shopping boulevards around the Champs-Élysées. We dig the combination of atmospheric surrounds and a great range of designer boutiques.",2011-10-31,32,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f81
83465,fr,5,"Une des places de Paris les plus célèbres et considérée comme l'une des plus luxueuses du monde. La plupart des façades est classée monument historique. En son centre, se trouve la colonne Vendôme.",2011-11-17,40,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f82
83465,fr,5,"Pour résumer : ""Prix sur demande"" :D",2011-11-22,7,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f83
83465,en,10,"This square smells luxury. Boucheron, Van Cleef and Arpels, Maubousin, Chanel, Chaumet, Dior, the Ritz,... But window-shopping is free ;)",2012-01-03,19,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f84
83465,fr,10,"pub cartier ... lol vous risquez de croiser de temps en temps quelques top models, sinon les magasins autour ne sont pas mal non plus x)",2012-03-29,25,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f85
83465,en,5,"I dare say ""welcome to luxury Switzerland!""",2012-04-10,7,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f86
83465,fr,5,Woody Allen tourne ici Tout le monde dit i love you en 1996. Rejoignez la communauté Orange Cinéma sur Facebook et découvrez les actualités et des interviews de personnalités du monde du cinéma,2012-05-15,37,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f87
83465,fr,10,Le Ritz et l'hôtel Costes sont des incontournables. Sans parler de la nouvelle boutique Louis Vuitton,2012-08-26,17,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f88
83465,fr,10,C'est de toute beauté.,2012-10-10,4,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f89
83465,pt,0,"Não é incomum encontrar aqui, modelos brasileras como Gisele Bündchen e Isabeli Fontana.",2012-11-05,14,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f8a
83465,it,10,ma un posto molto famoso a parigi,2012-11-15,7,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f8b
83465,zh-cn,0,青铜柱是拿破仑的功绩铸成，顶端站着小小的拿破仑。这里现在大牌云集，是个购物地。在书中，作者到广场附近努力寻觅雅各布俱乐部的旧址。,2012-12-16,0,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f8c
83465,en,10, really beautiful,2012-12-19,2,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f8d
83465,fr,0,"Avec toutes ses bijouteries, ce lieu est très pratique pour trouver une babiole à offrir en rentrant à la maison.",2013-01-26,19,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f8e
83465,th,0,เดินดีๆ ดูวิวงามๆ,2013-03-15,0,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f8f
83465,it,5,Place divine,2013-04-16,2,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f90
83465,fr,5,C'est une statue de Napoléon qu'on trouve au sommet de la colonne Vendôme.,2013-05-15,15,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f91
83465,pt,0,No número 12 morreu Choppin.,2013-09-03,5,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f92
83465,fr,5,place paris,2013-09-21,2,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f93
83465,pt,0,Exposição do chinês Li Chen!,2013-09-29,7,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f94
83466,en,10,Go for a walk with your true love.,2010-01-26,8,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f96
83466,en,10,Have a crepe with your beautiful and wonderful girl.,2010-01-27,9,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f97
83466,en,10,Best place for playing football on weekends,2010-01-30,7,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f98
83466,fr,0,Fin de semi marathon de paris très mal organisée,2010-03-07,11,http://tour-pedia.org/api/getReviewDetails?id=52a74a89ae9eef5a50671f99
