name,url,short_description,ticket_price,ticket_price_conditions,opening_hours,payment_methods,address,visiting_services,ticket_price_raw,city,category,lat,lng,Tourpedia_id
Basilique Cathédrale de Saint-Denis,https://www.saint-denis-basilique.fr/,Discover the necropolis of the kings and queens of France and the workshop of the flèche!,17.0,Free for under 26s,"From October to March
Monday to Saturday: 10:00 AM - 4:45 PM
Sunday: 12:00 PM - 4:45 PM
From April to September
Monday to Saturday: 10:00 AM - 5:45 PM
Sunday: 12:00 PM - 5:45 PM
Closed during religious services and January 1st, May 1st, and December 25th.",coins | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"1, rue de la Légion d'Honneur, 93200 Saint-Denis","Cabin baggage ('cabines') allowed: maximum 40x20x20 cm | No lockers or cloakroom on site | Guide dogs and assistance dogs are allowed | Toilets and changing table | Food is not allowed | Visual professional photography must be subject to authorization | Speech is subject to authorization and reserved for qualified persons according to the provisions of the tourism code | Smoking is prohibited throughout the site, both indoors and outdoors of the monument.",Price: 17 €,,,48.935461,2.359835,
Oppidum et musée archéologique d'Ensérune,https://www.enserune.fr/,Discover a major Gallo-Roman city located between Narbonne and Béziers.,9.0,Free for those under 26 years old.,"Please note: last access to the monument one hour before closing!
From April 1st to September 30th
9:45 AM - 6:30 PM
Closed on Mondays
From October 1st to March 31st
9:45 AM - 12:30 PM and 2:00 PM - 5:30 PM
Closed on Mondays and Tuesdays
Open on Easter and Pentecost Mondays.
Exceptional closures on January 1st, May 1st, November 1st and 11th, and December 25th.
Note that it takes 10 minutes of walking from the parking lot to the entrance of the site!",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"2901 route d’Ensérune, 34440 Nissan-lez-Ensérune","Drinking fountain | Toilets | Wheelchair | Possibility of rest during the visit and outdoors | Bike rack | Drop-off service | Parking (10 min uphill on a pedestrian path) | Possibility of a picnic outdoors on the site | Bookshop-shop | USB charging sockets | Dogs are allowed on the site but are prohibited in the museum | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor places where children and adolescents may be present or exposed, become smoke-free areas.",Price: 9 €,,,43.3103,3.1152,
Château d'Assier,https://www.chateau-assier.fr/,"Between Figeac and Rocamadour, visit the castle of a companion of arms of King Francis I.",5.0,Free for under 25s,"From May 2nd to 31st
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
Closed on Tuesdays
From September 1st to April 30th
The monument is open for groups of at least 8 people, by reservation by email or telephone.
Closed on Tuesdays
Attention: last access to the monument 45 minutes before closing.
Annual closure January 1st, May 1st, November 1st and 11th, December 25th",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | holiday cheques (Lire) - only available in the shop,"41 Rue des Écuries de Galiot, 46320 Assier","Dogs accepted outdoors, kept on a leash | Strollers not accepted on the 1st floor | For a scheduled animation at a fixed time, please arrive at the ticket office at least 15 minutes before the start of the animation. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, places open to the public outdoors where children and adolescents may be present or exposed, such as parks and public gardens, become non-smoking areas.",Price: 5 €,,,44.6748,1.878194,
Cathédrale Saint-Lazare d'Autun,https://www.tresor-cathedrale-autun.fr/,Discover the monumental reliquary intended to house the body of Saint-Lazare.,4.0,Free for under 26s,"From April 1st to October 31st
Monday to Saturday
10am - 1pm and 2pm - 6pm
Sunday
2pm - 6pm

Closed on Easter Monday, May 1st and 8th, July 19-20-21, October 10-11-12 and during major religious ceremonies.",,"Place du Terreau, 71400 Autun","During ceremonies, access is via the Clos Gislebertus | Assistance dogs are allowed on a leash | Strollers are allowed | Photos are allowed without flash | No luggage storage is offered within the monument's walls | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places of collective outdoor gathering where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas.",Price: 4€,,,46.944918,4.299149,
Château d'Angers,https://www.chateau-angers.fr/,"An impregnable fortress, a gigantic unique medieval masterpiece in the world: live a grand-scale experience!",11.0,Free for under 26s,"From May 2nd to September 4th
10:00 AM - 6:30 PM
From September 5th to April 30th
10:00 AM - 5:30 PM
December 24th and 31st: closing at 4:30 PM.
Note:
Ticket booth and last access to the monument closed 45 minutes before closing.
Temporary exhibitions and the royal lodge closed 30 minutes before closing.
The Gallery of the Apocalypse, the chapel and the bookstore-shop closed 15 minutes before closing.
Open every day except January 1st, May 1st and December 25th.",,"2, promenade du Bout-du-Monde, 49100 Angers","Visitors under 15 must be accompanied by a responsible adult. | The upper floors of the royal lodge are only accessible during temporary exhibitions. | For groups, advance booking may be required to access the monument and/or temporary exhibitions. Please see the dedicated tabs for groups. | Pets: Only guide dogs and assistance animals are allowed within the monument grounds.",Price: 11 €,,,47.470071,-0.560073,
Colonne de la Grande Armée,https://www.colonne-grande-armee.fr/,Discover a monument erected in 1804 to 1824 in honor of Napoleon Ier.,5.0,Free - from 26 years old,"From December 19th to June 14th
From Friday to Sunday
10am - 12pm and 2pm - 4pm
During February and Spring school holidays (zone B)
From Wednesday to Sunday
10am - 12pm and 2pm - 4pm
From June 15th to September 30th
From Wednesday to Sunday
10am - 12:30pm and 2:30pm - 6pm
From October 1st to November 7th
From Friday to Sunday
10am - 12pm and 2pm - 4pm
From November 8th to December 18th
Annual closure
Exceptional closure on January 1st, May 1st, November 1st and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) (only for entrance rights) | Lire cheques (only in the shop) | administrative mandate & Pass culture (reservation for groups),"Rue Napoléon, 62126 Wimille","The ascent of the column is strongly discouraged for people with mobility difficulties, people suffering from heart problems, elderly people, pregnant women or those prone to dizziness.
ATTENTION: There is no elevator access! | Access is allowed subject to wearing closed and suitable shoes for the climb (269 steps). | Access is not allowed for children under 6 years old. | It is imperative to comply with the instructions given by the staff on site. | Domestic animals are prohibited on the site, except for guide dogs. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument.",Price: 5 €,,,50.739895,1.618385,
Monastère royal de Brou,https://www.monastere-de-brou.fr/,Let yourself be transported by the exceptional history of this flamboyant Gothic masterpiece.,11.0,Free for under 26s,"From April 1st to September 30th
9am - 6pm
From October 1st to March 31st
9am - 5pm
Attention: last access to the monument 30 minutes before closing; evacuation of the monument 15 minutes before closing.
Closed on January 1st, May 1st and December 25th.",cash | bank cards | cheques | Culture cheques | Vacation cheques - ANCV (only at the ticket office) | Lire cheques (only in the shop),"63 boulevard de Brou, 01000 Bourg-en-Bresse",Accessible tour route for People with Reduced Mobility | Baby changing facilities available | Strollers allowed | Dogs prohibited (except guide dogs) | Food prohibited within the monument enclosure | Luggage lockers available,Price: 11 €,,,46.1968,5.2377,
Alignements de Carnac,https://www.menhirs-carnac.fr/,"Explore the largest megalithic ensemble of its kind in the world, a sacred site of European prehistory.",13.0,Admission fee for guided tours within the alignments.,"The Maison des mégalithes is closed on December 11th after midday.
 The Maison des mégalithes:

From April 1st to June 30th
9:30 AM - 6:00 PM
From July 1st to August 31st
9:30 AM - 7:00 PM
From September 1st to September 30th
9:30 AM - 6:00 PM
From October 1st to March 31st
10:00 AM - 1:00 PM
2:00 PM - 5:00 PM
Closure of the Maison des mégalithes on January 1st, May 1st and December 25th.
Check the schedules for guided tours in the alignments: reservation online or at the Maison des mégalithes ticket office.

Free access and walking route around the sites.
Some sites are open for free visits from October to March.",cash | credit cards | cheques | culture cheques | ANCV holiday cheques | shop cheques only,"Maison des mégalithes, Le Ménec, Carnac","Closed-toe shoes are recommended for visits within the alignments | Dogs on leads are allowed on the pathways around the alignments | Dogs are not allowed on guided tours and in the reception building. | Strollers are not recommended in the sites (uneven ground). | Drink dispenser at the Maison des mégalithes | Shade during the summer season (on the terrace roof or the courtyard) | Parking at the Maison des mégalithes - reserved for visitors | In case of overcrowding, use the alignment parking at the entrance to Carnac (coming from Auray) | Motorhomes, head to: 
ALIGNMENT PARK (KERABUS) | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. | In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, collective outdoor spaces where children and adolescents may be present or exposed, such as public parks and gardens, become non-smoking areas. | In case of extreme heat or drought, depending on the current vigilance alert, some visits may be modified or moved to more shaded sites. | It is recommended to bring water during the visit. | Protect yourself from the sun (hat, sunglasses, sunscreen). | For those sensitive to the sun, consider postponing your visit.",Price: 13 €,,,47.5926,-3.0825,
Cairn de Barnenez,https://www.barnenez.fr/,"In the Finistère, discover the Cairn de Barnenez, the largest megalithic monument in Europe.",7.0,Free for under 26s,"From April 1st to 30th
10am - 12:30pm and 2pm - 5:30pm
From May 2nd to June 30th
10am - 12:30pm and 2pm - 6:30pm
From July 1st to September 4th
10am - 6:30pm
From September 5th to September 30th
10am - 12:30pm and 2pm - 5:30pm
From October 1st to March 31st
10am - 12:30pm and 2pm - 5:30pm
Closed on Mondays
Attention: Last access to the monument, 30 minutes before closing.
Closed on January 1st, May 1st and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"Presqu'île de Kernelehen, 29200 Plouezoc'h, Tel.: 00 33 (0)2 98 67 24 73","Dogs not allowed on the site. | Strollers allowed but access is difficult. | Non-professional photos are allowed. | Restaurant closest in the village of Plouezoc'h | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas. | In case of very high heat or heatwave, depending on the current vigilance alert, some visits may be modified. | It is recommended to bring water during the visit. | Protect yourself from the sun (hat, sunglasses, sunscreen). | For those most sensitive, consider rescheduling your visit.",Price: 7 €,,,48.6402,-3.8222,
Village fortifié de Mont-Dauphin,https://www.village-fortifie-montdauphin.fr/,Discover a fortified village inscribed on the UNESCO World Heritage List as part of Vauban's fortifications,7.0,Reserve your guided tour of the fortifications,"The fortifications and military buildings of the 17th century are only accessible with a guided tour. Find the opening hours in the agenda.

The ticket office/shop is open from Tuesday to Sunday from 10am to 12pm and from 2pm to 6pm. Closed on December 25th, January 1st, May 1st.

The fortified village is accessible freely 24 hours a day and 7 days a week.
Attention: The Little Bighorn exhibition by Ousmane Sow is closed during the winter! Reopening planned for April 2026!",cash | bank cards | cheques | holiday cheques (ANCV) | Culture cheques (only at the shop) | Lire cheques (only at the shop),"Pavillon de l'Horloge, Ticket office/shop, 1 Place Vauban, 05600 Mont-Dauphin","Parking for cars and buses is mandatory (free) outside the village (approximately 300 meters). | Bookstore-shop open all year round, artisans and restaurants in the summer season. | Toilets. | Free access to the ramparts may be dangerous: be careful of falls. | Bicycles are allowed inside the village: bike racks available near the main buildings. | Picnic area and children's playground in the shaded area of the ""Plantation"" space. | Rental for tourist accommodation and event accommodation inside the fortified village. | Dogs kept on a leash are accepted. | Correct attire (bare torsos, barefoot and swimwear are prohibited) | Strollers are allowed | During periods of high heat, please bring a water bottle (fountains are located in the village) and a hat. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places where children and adolescents can be present or exposed, such as public parks and gardens, are smoke-free.",Price: 7 €,,,44.6698,6.6245,
