name,url,short_description,ticket_price,ticket_price_conditions,opening_hours,payment_methods,address,visiting_services,ticket_price_raw
Basilique Cathédrale de Saint-Denis,https://www.saint-denis-basilique.fr/,Découvrez la nécropole des rois et des reines de France et la Fabrique de la flèche !,17.0,Gratuit pour les - de 26 ans,"D'octobre à mars 
Du lundi au samedi : 10h - 16h45
Le dimanche : 12h - 16h45
D'avril à septembre 
Du lundi au samedi : 10h - 17h45
Le dimanche : 12h - 17h45
Fermetures pendant les offices religieux et les 1er janvier, 1er mai et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"1, rue de la Légion d'Honneur, 93200 Saint-Denis","Bagages « cabines » autorisées : maximum 40x20x20 cm | Pas de consigne ou de vestiaire sur place | Chiens guides et d'assistance autorisés | Toilettes et table à langer | Nourriture non-autorisée | Les prises de vue à visée professionnelle doivent faire l’objet d’une autorisation | Prise de parole soumise à autorisation et réservée aux personnes qualifiées au sens des dispositions du code du tourisme | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument.",Tarif : 17 €
Oppidum et musée archéologique d'Ensérune,https://www.enserune.fr/,Découvrez une cité gauloise majeure du Midi située entre Narbonne et Béziers.,9.0,Gratuit pour les - de 26 ans.,"Attention : dernier accès au monument, une heure avant la fermeture !
Du 1er avril au 30 septembre
9h45 - 18h30
Fermé les lundis
Du 1er octobre au 31 mars
9h45 - 12h30 et 14h - 17h30
Fermé les lundis et les mardis
Ouvert les lundis de Pâques et de Pentecôte.
Fermetures exceptionnelles les 1er janvier, 1er mai , 1er et 11 novembre, et 25 décembre.
Notez qu'il faut compter 10 minutes de marche depuis le parking jusqu'à l'entrée du site !",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"2901 route d’Ensérune, 34440 Nissan-lez-Ensérune","Fontaine à eau | Toilettes | Chaise-canne | Possibilité de repos au cours de la visite et à l'extérieur | Rack à vélos | Dépose-minute | Parking (10 min de montée par chemin piétonnier) | Possibilité de pique-nique à l’extérieur du site | Librairie-boutique | Prises de recharge électrique via USB | Chiens tenus en laisse sur le site mais interdits dans le musée | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, deviennent des espaces sans tabac.",Tarif : 9 €
Château d'Assier,https://www.chateau-assier.fr/,"Entre Figeac et Rocamadour, visitez le château d'un compagnon d'armes du roi François Ier.",5.0,Gratuit pour les - de 25 ans,"Du 2 mai au 31 août
10h - 12h30 et 14h - 18h30
Fermé le mardi
Du 1er septembre au 30 avril
Le monument est ouvert pour les groupes d'au moins 8 personnes, sur réservation par mail ou téléphone.
Fermé le mardi
Attention : dernier accès dans le monument 45 minutes avant la fermeture
Fermeture annuelle 1er janvier, 1er mai, 1er et 11 novembre, 25 décembre",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"41 Rue des Écuries de Galiot, 46320 Assier","Chiens acceptés à l'extérieur, tenus en laisse | Poussettes non acceptées au 1er étage | Dans le cadre d'une animation programmée à heure fixe, veillez à vous présenter en billetterie au moins 15 minutes avant le début de l'animation. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 5 €
Cathédrale Saint-Lazare d'Autun,https://www.tresor-cathedrale-autun.fr/,Découvrez le monumental reliquaire destiné à abriter le corps de Saint-Lazare.,4.0,Gratuit pour les -26 ans,"Du 1er avril au 31 octobre
Lundi au samedi
10h - 13h et 14h - 18h
Dimanche
14h -18h

Fermeture le lundi de Pâques, les 1er et 8 mai, les 19-20-21 juillet, les 10-11-12 août et lors des  grandes cérémonies religieuses.",,"Place du Terreau, 71400 Autun","Lors des cérémonies, l’accès se fait par le clos Gislebertus | Chiens d'assistance tenus en laisse autorisés | Poussettes autorisées | Photos autorisées sans flash | Aucune consigne à bagages n'est proposée dans l'enceinte des monuments | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 4€
Château d'Angers,https://www.chateau-angers.fr/,"Une forteresse imprenable, un gigantesque chef-d’œuvre médiéval unique au monde : vivez une expérience grandeur nature !",11.0,Gratuit pour les - de 26 ans,"Du 2 mai au 4 septembre 
10h - 18h30
Du 5 septembre au 30 avril
10h - 17h30
Les 24 et 31 décembre : fermeture à 16h30.
À noter : 
Fermeture de la billetterie et dernier accès au monument : 45 min avant la fermeture.
Fermeture des expositions temporaires et du logis royal : 30 min avant la fermeture.
Fermeture de la galerie de l’Apocalypse, de la chapelle et de la librairie-boutique : 15 min avant la fermeture

Ouvert tous les jours sauf 1er janvier, 1er mai  et 25 décembre.",,"2, promenade du Bout-du-Monde, 49100 Angers","Les visiteurs de moins de 15 ans doivent être accompagnés d'une personne majeure. | Les étages supérieurs du logis royal sont accessibles en période d’exposition temporaire uniquement. | Pour les groupes, une réservation en avance peut être nécessaire pour accéder au monument et/ou aux expositions temporaires. Consultez les onglets dédiés aux groupes. | Animaux de compagnie : seuls les chiens-guides et les animaux d'assistance sont autorisés dans l'enceinte du monument.",Tarif : 11 €
Colonne de la Grande Armée,https://www.colonne-grande-armee.fr/,Découvrez un monument érigé de 1804 à 1824 en l'honneur de Napoléon Ier.,5.0,Gratuit - de 26 ans,"Du 19 décembre au 14 juin
Du vendredi au dimanche 
10h - 12h et 14h - 16h
 Pendant les vacances de Février et de Printemps (zone B)
Du mercredi au dimanche 
10h - 12h et 14h - 16h
 Du 15 juin au 30 septembre
Du mercredi au dimanche 
10h - 12h30 et 14h30 - 18h
 Du 1er octobre au 7 novembre
Du vendredi au dimanche
10h - 12h et 14h - 16h
 Du 8 novembre au 18 décembre
Fermeture annuelle
 Fermeture exceptionnelle les 1er janvier, 1er mai, 1er novembre et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) (uniquement pour les droits d'entrée) | chèque Lire (uniquement en boutique) | mandat administratif & Pass culture (réservation de groupes),"Rue Napoléon, 62126 Wimille","La montée de la colonne est fortement déconseillée aux personnes ayant des difficultés de mobilité, personnes souffrant de problèmes cardiaques, personnes âgées, femmes enceintes ou craignant les espaces étroits et/ou sujettes au vertige.
ATTENTION : il n’y a aucun accès par ascenseur ! | L’accès est autorisé sous réserve de chaussures fermées et adaptées à la montée (269 marches). | L’accès n’est pas autorisé aux enfants de moins de 6 ans. | Il reste impératif de se conformer aux consignes transmises par les agents sur site. | Animaux domestiques interdits sur le site, à l'exception des chiens-guides. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument.",Tarif : 5 €
Monastère royal de Brou,https://www.monastere-de-brou.fr/,Laissez-vous transporter par l'exceptionnelle histoire de ce chef-d'œuvre gothique flamboyant.,11.0,Gratuit pour les - de 26 ans,"Du 1er avril au 30 septembre
9h - 18h
Du 1er octobre au 31 mars
9h - 17h
Attention : dernier accès au monument 30 minutes avant la fermeture ; évacuation du monument 15 minutes avant la fermeture.
Fermeture les 1er janvier, 1er mai et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances - ANCV (uniquement en billetterie) | chèque Lire (uniquement en boutique),"63 boulevard de Brou, 01000 Bourg-en-Bresse",Parcours de visite accessible aux Personnes à Mobilité Réduite | Table à langer disponible | Poussettes autorisées | Chiens interdits (sauf chiens de guidage) | Nourriture interdite dans l'enceinte du monument | Consignes disponibles pour vos bagages,Tarif : 11 €
Alignements de Carnac,https://www.menhirs-carnac.fr/,"Parcourez le plus grand ensemble mégalithique de ce type au monde, haut-lieu de la préhistoire européenne.",13.0,Tarif de la visite guidée au sein des alignements.,"La Maison des mégalithes est fermée le 11 décembre après-midi.
 La Maison des mégalithes :
 
Du 1er avril au 30 juin
9h30 - 18h
Du 1er juillet au 31 août
9h30 - 19h
Du 1er au 30 septembre
9h30 - 18h
Du 1er octobre au 31 mars
10h - 13h 
14h - 17h
 Fermeture de la Maison des mégalithes  les 1er janvier, 1er mai et 25 décembre.
Se renseigner sur les horaires de visites avec un guide dans les alignements : réservation en ligne ou achat à la billetterie Maison des mégalithes.

Accès libre et gratuit au cheminement piéton autour des sites.
Certains sites sont ouverts à la visite libre d'octobre à fin mars.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"Maison des mégalithes, Le Ménec, Carnac","Des chaussures fermées sont recommandées pour la visite dans les alignements | Chiens en laisse autorisés sur les cheminements autour des alignements | Chiens non autorisés en visite guidée et dans le bâtiment d'accueil. | Poussettes non recommandées dans les sites (sol non praticable). | Distributeur de boissons à la Maison des mégalithes. | Glacier pendant la saison estivale (sur le toit terrasse ou le parvis) | Parking de la Maison des mégalithes - réservé aux visiteurs | En cas d'affluence, autre parking des alignements indiqué à l'entrée de Carnac (en arrivant d'Auray) | Campings cars, se diriger vers  : 
PARKING DES ALIGNEMENTS (KERABUS) | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument.
En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs  extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | En cas de très fortes chaleurs, ou canicule, en fonction de l'alerte vigilance en cours, certaines visites pourraient être modifiées ou déplacées sur des sites plus ombragés.

Il est recommandé de prévoir de l'eau lors de la visite.
Se protéger du soleil (chapeau, lunettes, crème solaire)
Pour les personnes les plus sensibles, envisager de décaler sa visite.",Tarif : 13 €
Cairn de Barnenez,https://www.barnenez.fr/,"Dans le Finistère, découvrez le cairn de Barnenez, plus grand mausolée mégalithique d’Europe.",7.0,Gratuit pour les - de 26 ans,"Du 1er au 30 avril
10h - 12h30 et 14h - 17h30
Du 2 mai au 30 juin
10h - 12h30 et 14h - 18h30
Du 1er juillet au 4 septembre
10h - 18h30
Du 5 septembre au 30 septembre
10h - 12h30 et 14h - 17h30
Du 1er octobre au 31 mars
10h - 12h30 et 14h - 17h30
Fermé le lundi
Attention : dernier accès au monument, 30 mn avant la fermeture.
Fermeture les 1er janvier, 1er mai et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"Presqu'île de Kernelehen, 29200 Plouezoc'h, Tél. : 00 33 (0)2 98 67 24 73","Chiens non autorisés sur le site. | Poussettes autorisées mais accès difficile. | Photos non professionnelles autorisées. | Restauration la plus proche dans le village de Plouezoc'h | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument.
En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | En cas de très fortes chaleurs, ou canicule, en fonction de l'alerte vigilance en cours, certaines visites pourraient être modifiées.

Il est recommandé de prévoir de l'eau lors de la visite.
Se protéger du soleil (chapeau, lunettes, crème solaire)
Pour les personnes les plus sensibles, envisager de décaler sa visite.",Tarif : 7 €
Village fortifié de Mont-Dauphin,https://www.village-fortifie-montdauphin.fr/,Découvrez une place forte inscrite au patrimoine mondial de l'UNESCO au titre des fortifications de Vauban,7.0,Réserver votre visite des fortifications,"Les fortifications et les bâtiments militaires du XVIIe siècle sont accessibles uniquement en visite commentée. Retrouvez les horaires de visite dans l'agenda.

La billetterie/boutique est ouverte du mardi au dimanche de 10h à 12h et de 14h à 17h. Fermée le 25 décembre, 1er janvier, 1er mai.

Le village fortifié est en accès libre toute l'année, 24 heures sur 24 et 7 jours sur 7.
Attention : l'exposition Little Bighorn d'Ousmane Sow est fermée durant l'hiver ! Réouverture prévue en avril 2026 !",espèces | cartes bancaires | chèque | chèque-vacances (ANCV) | chèque Culture (uniquement en boutique) | chèque Lire (uniquement en boutique),"Pavillon de l'Horloge, Billetterie/boutique, 1 place Vauban, 05600 Mont-Dauphin","Parking voitures et cars obligatoire (gratuit) à l'extérieur du village (à 300 mètres environ). | Librairie-boutique ouverte toute l'année, artisans et restaurants en saison estivale. | Toilettes. | L'accès libre aux remparts peut être dangereux : attention aux chutes. | Vélos autorisés à l'intérieur du village : ranges-vélos disponibles aux abords des principaux bâtiments. | Aire de pique-nique et jeux pour enfants dans l'espace arboré de la « Plantation ». | Location pour hébergement touristique et activité événementielle à l'intérieur du village fortifié. | Chiens tenus en laisse acceptés. | Tenues correctes (torse nu, pieds nus et maillot de bain interdits) | Poussettes autorisées | En période de forte chaleur pensez à venir avec une gourde d'eau (des fontaines sont présentes dans le village) et un chapeau. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 7 €
