name,rating,review_count,place_link
Museum of Art and History of the City of Meudon,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67a4e71dd92fb:0xda49e2ac30873ebd
Phono Museum,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e43f0beadf9:0xa9f5a39fa4cf785a
Monument de la Défense Nationale de 1870,3.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67164e5bbc5f9:0x615a586884d99f8
Monument aux morts de Villejuif,3.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e6732b7ed6fdf9:0xa07bdbb929647f8d
Square Barye,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671fbe87a44f9:0xda359d2040b423b8
Nogent-sur-Marne Museum,4.2,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e60d6eda2106fb:0x18a0a048c5398ace
Monument à Buffon,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671007803cdd3:0xbbf72fb5f2db8e63
Paris Pinball Museum,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66ef54448d4d3:0xd583715e6b606505
Grand Palais,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fd048eedcd1:0x499b45575147a06b
Invader PA_720,5.0,1,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f00716609d3:0x810a1ffe1837ac61
Buste de Dalida,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e5afabf90d1:0xe1467b6fc98166
Musée de l’Éventail,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f0077e090d1:0xc966f9dcf96c6127
Hôtel de la Marine,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fd2ec1d3bd3:0x9e7f28910c67fedb
Monument aux morts de Joinville-le-Pont,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e60d7080899bd7:0x781333883c149e8e
The French Playing Card Museum,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67a821cc05fd5:0x9de25b020aba49e8
