name,rating,review_count,website,opening_hours,google_maps_url
Basilique Cathédrale de Saint-Denis,4.6,7419,https://www.saint-denis-basilique.fr/,Thursday=10 am–4:45 pm; Friday=10 am–4:45 pm; Saturday=10 am–4:45 pm; Sunday=10 am–4:45 pm; Monday=10 am–4:45 pm; Tuesday=10 am–4:45 pm; Wednesday=(Christmas Eve) 10 am–4:45 pm Hours might differ,"https://www.google.com/maps/place/Basilique+Cath%C3%A9drale+Saint-Denis/@48.9356974,2.3565419,17z/data=!4m6!3m5!1s0x47e66eb312fc18bd:0xf2ffbe58c6ffe57c!8m2!3d48.9356939!4d2.3591168!16zL20vMGhrYjg?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D"
Oppidum et musée archéologique d'Ensérune,4.3,666,,,https://www.google.com/maps/search/Oppidum%20et%20mus%C3%A9e%20arch%C3%A9ologique%20d%27Ens%C3%A9rune
Château d'Assier,4.2,353,http://www.chateau-assier.fr/,,https://www.google.com/maps/search/Ch%C3%A2teau%20d%27Assier
Cathédrale Saint-Lazare d'Autun,4.6,2174,,Thursday=9 am–5 pm; Friday=9 am–5 pm; Saturday=9 am–5 pm; Sunday=2–5 pm; Monday=9 am–5 pm; Tuesday=9 am–5 pm; Wednesday=(Christmas Eve) 9 am–5 pm Hours might differ,https://www.google.com/maps/search/Cath%C3%A9drale%20Saint-Lazare%20d%27Autun
Château d'Angers,4.5,18758,http://www.chateau-angers.fr/,Thursday=10 am–5:30 pm; Friday=10 am–5:30 pm; Saturday=10 am–5:30 pm; Sunday=10 am–5:30 pm; Monday=10 am–5:30 pm; Tuesday=10 am–5:30 pm; Wednesday=(Christmas Eve) 10 am–5:30 pm Hours might differ,https://www.google.com/maps/search/Ch%C3%A2teau%20d%27Angers
Colonne de la Grande Armée,4.3,677,http://wimille.monuments-nationaux.fr/,Thursday=Closed; Friday=10 am–12 pm 2–4 pm; Saturday=10 am–12 pm 2–4 pm; Sunday=10 am–12 pm 2–4 pm; Monday=Closed; Tuesday=Closed; Wednesday=(Christmas Eve) Closed Hours might differ,https://www.google.com/maps/search/Colonne%20de%20la%20Grande%20Arm%C3%A9e
Monastère royal de Brou,4.7,4301,http://www.monastere-de-brou.fr/,Thursday=9 am–5 pm; Friday=9 am–5 pm; Saturday=9 am–5 pm; Sunday=9 am–5 pm; Monday=9 am–5 pm; Tuesday=9 am–5 pm; Wednesday=(Christmas Eve) 9 am–5 pm Hours might differ,https://www.google.com/maps/search/Monast%C3%A8re%20royal%20de%20Brou
Alignements de Carnac,4.4,20934,https://www.menhirs-carnac.fr/,,https://www.google.com/maps/search/Alignements%20de%20Carnac
Cairn de Barnenez,4.0,2157,http://barnenez.fr/,Thursday=10 am–12:30 pm 2–5:30 pm; Friday=10 am–12:30 pm 2–5:30 pm; Saturday=10 am–12:30 pm 2–5:30 pm; Sunday=10 am–12:30 pm 2–5:30 pm; Monday=Closed; Tuesday=10 am–12:30 pm 2–5:30 pm; Wednesday=(Christmas Eve) 10 am–12:30 pm 2–5:30 pm Hours might differ,https://www.google.com/maps/search/Cairn%20de%20Barnenez
Village fortifié de Mont-Dauphin,4.5,2979,http://www.village-fortifie-montdauphin.fr/,Thursday=10 am–5 pm; Friday=10 am–5 pm; Saturday=10 am–5 pm; Sunday=10 am–5 pm; Monday=Closed; Tuesday=10 am–5 pm; Wednesday=(Christmas Eve) 10 am–5 pm Hours might differ,https://www.google.com/maps/search/Village%20fortifi%C3%A9%20de%20Mont-Dauphin
