name,wiki_description,wiki_url,categories,fact_style,fact_completed,fact_type,fact_built,fact_built_by,fact_visitors
Basilique Cathédrale de Saint-Denis,"The Basilica of Saint-Denis (French: Basilique royale de Saint-Denis, now formally known as the Basilique-cathédrale de Saint-Denis) is a large former medieval abbey church and cathedral in the commune of Saint-Denis, a northern suburb of Paris. The building is of singular importance historically and architecturally as its choir, completed in 1144, is widely considered the first structure to employ all of the elements of Gothic architecture.",https://en.wikipedia.org/wiki/Basilica_of_Saint-Denis,"Buildings and structures completed in 1144, 12th-century Roman Catholic church buildings in France, Churches in Seine-Saint-Denis, Roman Catholic cathedrals in France, Benedictine monasteries in France",Gothic,,,,,
Oppidum et musée archéologique d'Ensérune,"The Centre des monuments nationaux (French pronunciation: , CMN; 'National monuments centre') is a French government body (établissement public à caractère administratif) which conserves, restores and manages historic buildings and sites that are the property of the French state. It is run by the Ministry of Culture.",https://en.wikipedia.org/wiki/Centre_des_monuments_nationaux,"Government agencies of France, Lists of buildings and structures in France, Historic sites in France, National heritage organizations, 2000 establishments in France",,,,,,
Château d'Assier,"The Château d'Assier is located in Assier, in the Lot department of the Occitanie region of south-west France. It is an example of the diffusion of Renaissance château architecture from the Loire Valley into other parts of France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Assier,"Châteaux in Lot (department), Historic house museums in Occitania (administrative region), Museums in Lot (department), Monuments historiques of Lot (department), Houses completed in 1535",French Renaissance,1535,Château,1518,,
Cathédrale Saint-Lazare d'Autun,"The Cathedral of Saint Lazarus of Autun (French: Cathédrale Saint-Lazare d'Autun), commonly known as Autun Cathedral, is a Roman Catholic cathedral in Autun and a national monument of France. Famous for its Cluniac inspiration and its Romanesque sculptures by Gislebertus, it is a highlight of Romanesque art in Burgundy. It is the seat of the Roman Catholic Diocese of Autun and its Bishop. The Bishop of Autun set forth the construction of St. Lazarus Cathedral as a result of the large movement of pilgrims travelling to Vezelay as they progressed on the pilgrimage route to Santiago de Compostela.",https://en.wikipedia.org/wiki/Autun_Cathedral,"1146 establishments in Europe, Buildings and structures completed in 1146, Churches completed in the 1140s, Roman Catholic cathedrals in France, Romanesque art","Romanesque, Gothic","1146, Significant modifications in the 13th and 16th centuries",,,,
Château d'Angers,"The Château d'Angers is a castle in the city of Angers in the Loire Valley, in the département of Maine-et-Loire, in France. Founded in the 9th century by the Counts of Anjou, it was expanded to its current size in the 13th century. It is located overhanging the River Maine. It is a listed historical monument since 1875. Now open to the public, the Château d'Angers is home of the Apocalypse Tapestry.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Angers,"Castles in Pays de la Loire, Buildings and structures in Angers, Châteaux in Maine-et-Loire, Museums in Maine-et-Loire, Historic house museums in Pays de la Loire",,,Medieval castle,9th and early 13th centuries,,
Colonne de la Grande Armée,"The Grande Armée (pronounced ; French for 'Great Army') was the primary field army of the French Imperial Army during the Napoleonic Wars. Commanded by Napoleon, from 1804 to 1808 it won a series of military victories that allowed the First French Empire to exercise unprecedented control over most of Europe. Widely acknowledged to be one of the greatest fighting forces ever assembled, it suffered catastrophic losses during the disastrous French invasion of Russia, after which it never recovered its strategic superiority and ended its military career with a total defeat during the Hundred Days in 1815.",https://en.wikipedia.org/wiki/Grande_Arm%C3%A9e,"1804 establishments in France, 1815 disestablishments in France, Armies of Napoleonic Wars, Disbanded armies, La Grande Armée",,,Field army,,,
Monastère royal de Brou,"The Royal Monastery of Brou is a religious complex located at Bourg-en-Bresse in the Ain département, central France. Made out of monastic buildings in addition to a church, they were built at the beginning of the 16th century by Margaret of Austria, daughter of the Holy Roman Emperor Maximilian I and Governor of the Habsburg Netherlands. The complex was designed as a dynastic burial place in the tradition of the Burgundian Champmol and Cîteaux Abbey, and the French Saint-Denis. The church is known as the Église Saint-Nicolas-de-Tolentin de Brou in French.",https://en.wikipedia.org/wiki/Royal_Monastery_of_Brou,"16th-century Roman Catholic church buildings in France, Roman Catholic churches completed in 1532, Christian monasteries in Ain, Monuments historiques of Ain, Churches in Ain",,,,,,
Alignements de Carnac,"The Carnac stones (Breton: Steudadoù Karnag) are an exceptionally dense collection of megalithic sites near the south coast of Brittany in northwestern France, consisting of stone alignments (rows), dolmens (stone tombs), tumuli (burial mounds) and single menhirs. More than 3,000 prehistoric standing stones were hewn from local granite and erected by the pre-Celtic people of Brittany and form the largest such collection in the world. Most of the stones are within the Breton municipality of Carnac, but some to the east are within neighboring La Trinité-sur-Mer. The stones were erected at some stage during the Neolithic period, probably around 3300 BC, but some may date to as early as 4500 BC.",https://en.wikipedia.org/wiki/Carnac_stones,"Archaeoastronomy, Megalithic monuments in Brittany, Buildings and structures in Morbihan, Geography of Brittany, Tourist attractions in Morbihan",,,,,,
Cairn de Barnenez,"The Cairn of Barnenez (also: Barnenez Tumulus, Barnenez Mound; in Breton Karn Barnenez; in French: Cairn de Barnenez or Tumulus de Barnenez) is a Neolithic monument located near Plouezoc'h, on the Kernéléhen peninsula in northern Finistère, Brittany, France. It dates to the early Neolithic, around 4000 BC. Along with the Tumulus of Bougon and Locmariaquer megaliths, also located in Great West France, it is one of the earliest megalithic monuments in Europe and one of the oldest man-made structures in the world. It is also remarkable for the presence of megalithic art.",https://en.wikipedia.org/wiki/Barnenez,"Buildings and structures completed in the 5th millennium BC, 1807 archaeological discoveries, Neolithic sites of Europe, Archaeological sites in Brittany, Megalithic monuments in Brittany",,c. 4000 BC,,c. 4850 BC,,
Village fortifié de Mont-Dauphin,"The Château de Flumet, also known locally as the Château des Faucigny, was a 12th-century fortified site located in the Val d’Arly (fr). Now disappeared, it stood above the commune of Flumet in the Savoie department, within the Auvergne–Rhône-Alpes region. Between the 13th and 15th centuries, it served as the seat of a châtellenie.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Flumet,"Medieval architecture, Medieval defences, Castles, Fortifications",,,Castle,,,
Château et remparts de la Cité de Carcassonne,"The Cité de Carcassonne (Occitan: Ciutat de Carcassona ) is a medieval citadel located in the French city of Carcassonne, in the Aude department, Occitania region. It is situated on a hill on the right bank of the river Aude, in the south-eastern part of the city proper.",https://en.wikipedia.org/wiki/Cit%C3%A9_de_Carcassonne,"Castles in Aude, History of Aude, World Heritage Sites in France, Carcassonne, Buildings and structures in Aude",,,,,,
Château de Vincennes,"The Château de Vincennes (French pronunciation: ) is a former fortress and royal residence next to the town of Vincennes, on the eastern edge of Paris, alongside the Bois de Vincennes. It was largely built between 1361 and 1369, and was a preferred residence, after the Palais de la Cité, of French kings from the 14th to 16th century. It is particularly known for its ""donjon"" or keep, a fortified central tower (the tallest in Europe) built in the 14th century and for the chapel, Sainte-Chapelle de Vincennes, begun in 1379 but not completed until 1552, which is an exceptional example of Flamboyant Gothic architecture. Because of its fortifications, the château was often used as a royal sanctuary in times of trouble and as a prison and military headquarters. The chapel was listed as an historic monument in 1853 and the keep was listed in 1913. Most of the building is now open to the public.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Vincennes,"Buildings and structures completed in 1410, Houses completed in the 15th century, Castles in Île-de-France, Palaces in France, Royal residences in France",,,Medieval castle,c. 1340–1410,,
Tour Pey-Berland,"The Tour Pey-Berland (Pey Berland Tower), named for its patron Pey Berland, is the separate bell tower of the Bordeaux Cathedral, in Bordeaux at the Place Pey Berland.",https://en.wikipedia.org/wiki/Tour_Pey-Berland,"Religious buildings and structures completed in 1500, Towers completed in the 15th century, Buildings and structures in Bordeaux, Towers in France, Tourist attractions in Bordeaux",,,,,,
Hôtel de Sully,"The Hôtel de Sully (French pronunciation: ) is a Louis XIII style hôtel particulier, or private mansion, located at 62 Rue Saint-Antoine in the Marais, 4th arrondissement, Paris, France. Built at the beginning of the 17th century, it is nowadays the seat of the Centre des monuments nationaux, the French national organization responsible for national heritage sites. It has been listed since 1862 as a monument historique by the Ministry of Culture.",https://en.wikipedia.org/wiki/H%C3%B4tel_de_Sully,"Houses completed in 1630, Le Marais, Hôtels particuliers in Paris, Buildings and structures in the 4th arrondissement of Paris, Monuments historiques of Paris",Louis XIII,1630,Hôtel particulier,1624,Jean Androuet du Cerceau,
Hôtel de Sade,"Donatien Alphonse François, Marquis de Sade (/sɑːd, sæd/ SA(H)D; French: ; 2 June 1740 – 2 December 1814) was a French writer, libertine, political activist, and nobleman best known for his libertine novels and imprisonment for sex crimes, blasphemy, and pornography. His works include novels, short stories, plays, dialogues, and political tracts. Some of these were published under his own name during his lifetime, but most appeared anonymously or posthumously.",https://en.wikipedia.org/wiki/Marquis_de_Sade,"Marquis de Sade, 1740 births, 1814 deaths, 18th-century French criminals, 18th-century French dramatists and playwrights",,,,,,
Chapelle des moines de Berzé-la-Ville,Berzé-la-Ville (French pronunciation: ; Arpitan: Bresié-la-Vela) is a commune in the Saône-et-Loire department in the region of Bourgogne-Franche-Comté in eastern France.,https://en.wikipedia.org/wiki/Berz%C3%A9-la-Ville,Communes of Saône-et-Loire,,,,,,
