input_name,wiki_name,wiki_description,wiki_url,category,lat,lon
Basilique Cathédrale de Saint-Denis,Basilique Saint-Denis,The Saint-Denis Basilica of Saint-Denis is a Gothic style church located in the center of the city of Saint-Denis.,https://fr.wikipedia.org/wiki/Basilique_Saint-Denis,Church,48.935556,2.359722
Oppidum et musée archéologique d'Ensérune,Oppidum d'Ensérune,"The Ensérune oppidum is an archaeological site comprising the remains of an ancient village, located on a hill in the commune of Nissan-lez-Enserune, in the department of Hérault (France). This village was occupied between the 6th century BC. BC (Iron Age) and the 1st century AD. Its position at the top of a hill earned it the title of oppidum.",https://fr.wikipedia.org/wiki/Oppidum_d%27Ens%C3%A9rune,Historic Site,43.30972,3.11056
Château d'Assier,Château d'Assier,"The Château d'Assier is located in Assier, in the Lot department of the Occitanie region of south-west France. It is an example of the diffusion of Renaissance château architecture from the Loire Valley into other parts of France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Assier,Historic Site,,
Cathédrale Saint-Lazare d'Autun,Autun Cathedral,"The Cathedral of Saint Lazarus of Autun (French: Cathédrale Saint-Lazare d'Autun), commonly known as Autun Cathedral, is a Roman Catholic cathedral in Autun and a national monument of France. Famous for its Cluniac inspiration and its Romanesque sculptures by Gislebertus, it is a highlight of Romanesque art in Burgundy. It is the seat of the Roman Catholic Diocese of Autun and its Bishop. The Bishop of Autun set forth the construction of St. Lazarus Cathedral as a result of the large movement of pilgrims travelling to Vezelay as they progressed on the pilgrimage route to Santiago de Compostela.",https://en.wikipedia.org/wiki/Autun_Cathedral,Monument / Landmark,,
Château d'Angers,Château d'Angers,"The Château d'Angers is a castle in the city of Angers in the Loire Valley, in the département of Maine-et-Loire, in France. Founded in the 9th century by the Counts of Anjou, it was expanded to its current size in the 13th century. It is located overhanging the River Maine. It is a listed historical monument since 1875. Now open to the public, the Château d'Angers is home of the Apocalypse Tapestry.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Angers,Monument / Landmark,,
Colonne de la Grande Armée,Column of the Grande Armée,"The Column of the Grande Armée (French - Colonne de la grande Armée or Colonne Napoléone) is a 53 metre high Corinthian order triumphal column (modelled on Trajan's Column and other triumphal columns in Rome) on the Rue Napoleon in Wimille, near Boulogne-sur-Mer, France.",https://en.wikipedia.org/wiki/Column_of_the_Grande_Arm%C3%A9e,Historic Site,,
Monastère royal de Brou,Monastère royal de Brou,"The royal monastery of Brou is a religious complex located in Bourg-en-Bresse in the Ain department, in the Auvergne-Rhône-Alpes region.",https://fr.wikipedia.org/wiki/Monast%C3%A8re_royal_de_Brou,Historic Site,46.196,5.2369
Alignements de Carnac,Carnac stones,"The Carnac stones (Breton: Steudadoù Karnag) are an exceptionally dense collection of megalithic sites near the south coast of Brittany in northwestern France, consisting of stone alignments (rows), dolmens (stone tombs), tumuli (burial mounds) and single menhirs. More than 3,000 prehistoric standing stones were hewn from local granite and erected by the pre-Celtic people of Brittany and form the largest such collection in the world. Most of the stones are within the Breton municipality of Carnac, but some to the east are within neighboring La Trinité-sur-Mer. The stones were erected at some stage during the Neolithic period, probably around 3300 BC, but some may date to as early as 4500 BC.",https://en.wikipedia.org/wiki/Carnac_stones,Historic Site,,
Cairn de Barnenez,Barnenez,"The Cairn of Barnenez (also: Barnenez Tumulus, Barnenez Mound; in Breton Karn Barnenez; in French: Cairn de Barnenez or Tumulus de Barnenez) is a Neolithic monument located near Plouezoc'h, on the Kernéléhen peninsula in northern Finistère, Brittany, France. It dates to the early Neolithic, around 4000 BC. Along with the Tumulus of Bougon and Locmariaquer megaliths, also located in Great West France, it is one of the earliest megalithic monuments in Europe and one of the oldest man-made structures in the world. It is also remarkable for the presence of megalithic art.",https://en.wikipedia.org/wiki/Barnenez,Monument / Landmark,,
Village fortifié de Mont-Dauphin,Fort du Mont-Dauphin,"The Mont-Dauphin fort is a fortified complex, part of the Vauban fortifications listed by UNESCO, and classified as a historic monument.",https://fr.wikipedia.org/wiki/Fort_du_Mont-Dauphin,Monument / Landmark,44.6697,6.6241
Château et remparts de la Cité de Carcassonne,Cité de Carcassonne,"The City of Carcassonne is a medieval architectural ensemble located in the French city of Carcassonne in the Aude department, Occitanie region. It is located on the right bank of the Aude, southeast of the current city. This fortified medieval city, whose origins date back to the Gallo-Roman period, owes its fame to its double enclosure, reaching almost 3 km in length and comprising fifty-two towers, which dominates the Aude valley. The City also includes a castle (the count’s castle) and a basilica (the Saint-Nazaire basilica).",https://fr.wikipedia.org/wiki/Cit%C3%A9_de_Carcassonne,Historic Site,43.20667,2.36361
Château de Vincennes,Château de Vincennes,"The Château de Vincennes (French pronunciation: ) is a former fortress and royal residence next to the town of Vincennes, on the eastern edge of Paris, alongside the Bois de Vincennes. It was largely built between 1361 and 1369, and was a preferred residence, after the Palais de la Cité, of French kings from the 14th to 16th century. It is particularly known for its ""donjon"" or keep, a fortified central tower (the tallest in Europe) built in the 14th century and for the chapel, Sainte-Chapelle de Vincennes, begun in 1379 but not completed until 1552, which is an exceptional example of Flamboyant Gothic architecture. Because of its fortifications, the château was often used as a royal sanctuary in times of trouble and as a prison and military headquarters. The chapel was listed as an historic monument in 1853 and the keep was listed in 1913. Most of the building is now open to the public.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Vincennes,Monument / Landmark,,
